lat,lon,Grid_ID
24.90892,66.74419,1
24.90892,66.83402,2
24.90892,66.92386,3
24.99037,66.92386,4
24.82742,67.01369,5
24.90892,67.01369,6
24.99037,67.01369,7
25.07176,67.01369,8
25.15311,67.01369,9
24.82742,67.10352,10
24.90892,67.10352,11
24.99037,67.10352,12
25.07176,67.10352,13
25.15311,67.10352,14
25.23439,67.10352,15
24.82742,67.19335,16
24.90892,67.19335,17
24.99037,67.19335,18
25.07176,67.19335,19
25.15311,67.19335,20
25.23439,67.19335,21
25.31562,67.19335,22
25.3968,67.19335,23
25.47792,67.19335,24
24.82742,67.28318,25
24.90892,67.28318,26
24.99037,67.28318,27
25.07176,67.28318,28
25.15311,67.28318,29
25.23439,67.28318,30
25.31562,67.28318,31
25.3968,67.28318,32
25.47792,67.28318,33
25.55899,67.28318,34
24.82742,67.37301,35
24.90892,67.37301,36
24.99037,67.37301,37
25.07176,67.37301,38
25.3968,67.37301,39
25.47792,67.37301,40
25.55899,67.37301,41
25.64001,67.37301,42
24.90892,67.46284,43
24.99037,67.46284,44
25.07176,67.46284,45
24.82742,67.55268,46
24.56385,67.22137,47
24.68634,67.22137,48
26.50905,67.22137,49
26.62957,67.22137,50
26.74996,67.22137,51
26.87022,67.22137,52
26.99036,67.22137,53
27.11037,67.22137,54
27.23024,67.22137,55
27.34999,67.22137,56
27.46961,67.22137,57
24.19565,67.35611,58
24.3185,67.35611,59
24.44123,67.35611,60
24.56385,67.35611,61
24.68634,67.35611,62
25.1751,67.35611,63
25.29699,67.35611,64
25.66191,67.35611,65
26.26764,67.35611,66
26.38841,67.35611,67
26.50905,67.35611,68
26.62957,67.35611,69
26.74996,67.35611,70
26.87022,67.35611,71
26.99036,67.35611,72
27.11037,67.35611,73
27.23024,67.35611,74
27.34999,67.35611,75
27.46961,67.35611,76
27.5891,67.35611,77
27.70846,67.35611,78
23.9496,67.49086,79
24.07268,67.49086,80
24.19565,67.49086,81
24.3185,67.49086,82
24.44123,67.49086,83
24.56385,67.49086,84
24.68634,67.49086,85
